Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,ENG,ENGLAND,Apr-21,All Patients,1720822,1774983,96.9,NULL
1. MSitAE Comparison,ENG,ENGLAND,May-21,All Patients,1904554,1968557,96.7,NULL
1. MSitAE Comparison,ENG,ENGLAND,Jun-21,All Patients,1991215,2052726,97,NULL
1. MSitAE Comparison,ENG,ENGLAND,Jul-21,All Patients,1992872,2049153,97.3,NULL
1. MSitAE Comparison,ENG,ENGLAND,Aug-21,All Patients,1877837,1927595,97.4,NULL
1. MSitAE Comparison,ENG,ENGLAND,Sep-21,All Patients,1946703,2015763,96.6,NULL
1. MSitAE Comparison,ENG,ENGLAND,Oct-21,All Patients,1978467,2049267,96.5,NULL
1. MSitAE Comparison,ENG,ENGLAND,Nov-21,All Patients,1846250,1928877,95.7,NULL
1. MSitAE Comparison,ENG,ENGLAND,Dec-21,All Patients,1712663,1775341,96.5,NULL
1. MSitAE Comparison,ENG,ENGLAND,Jan-22,All Patients,1704325,1776336,95.9,NULL
1. MSitAE Comparison,ENG,ENGLAND,Feb-22,All Patients,1665757,1728203,96.4,NULL
1. MSitAE Comparison,ENG,ENGLAND,Mar-22,All Patients,1976363,2058919,96,NULL
1. MSitAE Comparison,AAH,TETBURY HOSPITAL TRUST LTD,Apr-21,All Patients,155,155,-,NULL
1. MSitAE Comparison,AD9,GREENBROOK HEALTHCARE,Apr-21,All Patients,5080,No Data,NULL,NULL
1. MSitAE Comparison,AD903,URGENT CARE CENTRE,Apr-21,All Patients,6845,No Data,NULL,NULL
1. MSitAE Comparison,AD904,UCC AT HILLINGDON HOSPITAL,Apr-21,All Patients,6780,No Data,NULL,NULL
1. MSitAE Comparison,AD906,UCC - NORTHWICK PARK HOSPITAL,Apr-21,All Patients,9865,No Data,NULL,NULL
1. MSitAE Comparison,AD913,BECKENHAM BEACON UCC,Apr-21,All Patients,3540,3553,100,NULL
1. MSitAE Comparison,AD914,UCC - QUEEN ELIZABETH HOSPITAL,Apr-21,All Patients,7160,No Data,NULL,NULL
1. MSitAE Comparison,AD918,UTC - CENTRAL MIDDLESEX HOSPITAL,Apr-21,All Patients,2780,No Data,NULL,NULL
1. MSitAE Comparison,ANH,MALLING HEALTH,Apr-21,All Patients,19325,No Data,NULL,NULL
1. MSitAE Comparison,AXA,TOWER HAMLETS GP CARE GROUP CIC,Apr-21,All Patients,6990,No Data,NULL,NULL
1. MSitAE Comparison,AXG,WILTSHIRE HEALTH & CARE,Apr-21,All Patients,905,947,96,NULL
1. MSitAE Comparison,AXT,ONE MEDICAL GROUP LIMITED,Apr-21,All Patients,5990,No Data,NULL,NULL
1. MSitAE Comparison,D0W0K,HEALTH & WELLBEING CENTRE,Apr-21,All Patients,1845,No Data,NULL,NULL
1. MSitAE Comparison,F4I4D,WHITEGATE DRIVE HEALTH CENTRE,Apr-21,All Patients,5860,No Data,NULL,NULL
1. MSitAE Comparison,NLO14,WEST MIDLANDS DOCTORS URGENT CARE,Apr-21,All Patients,15,No Data,-,NULL
1. MSitAE Comparison,NLO15,YORKSHIRE DOCTORS URGENT CARE - VALE OF YORK,Apr-21,All Patients,*,No Data,-,NULL
1. MSitAE Comparison,NLO21,ST MARY'S URGENT CARE CENTRE,Apr-21,All Patients,15,No Data,-,NULL
1. MSitAE Comparison,NLO26,ROYAL STOKE UNIVERSITY HOSPITAL URGENT CARE CENTRE,Apr-21,All Patients,5330,No Data,NULL,NULL
1. MSitAE Comparison,NNF,CITY HEALTH CARE PARTNERSHIP CIC,Apr-21,All Patients,9400,No Data,NULL,NULL
