Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2017,RF4,London Commissioning Region,"Barking, Havering And Redbridge University Hospitals NHS Trust",19889.0,643.0,2390.0,3172.0,10.0,14.0,46.0,0.0,4704.0,0.0,0.0,86.0
MSitAE-APRIL-2017,R1H,London Commissioning Region,Barts Health NHS Trust,27834.0,622.0,11093.0,6125.0,10.0,193.0,1476.0,0.0,6291.0,0.0,0.0,877.0
MSitAE-APRIL-2017,AD913,London Commissioning Region,Beckenham Beacon Ucc,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RYX,London Commissioning Region,Central London Community Healthcare NHS Trust,0.0,0.0,18481.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RQM,London Commissioning Region,Chelsea And Westminster Hospital NHS Foundation Trust,15957.0,0.0,7495.0,1309.0,0.0,84.0,181.0,0.0,3375.0,0.0,0.0,683.0
MSitAE-APRIL-2017,RJ6,London Commissioning Region,Croydon Health Services NHS Trust,6268.0,0.0,6497.0,1257.0,0.0,223.0,88.0,0.0,1994.0,0.0,0.0,461.0
MSitAE-APRIL-2017,Y02696,London Commissioning Region,Edmonton GP Walk In Centre,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RVR,London Commissioning Region,Epsom And St Helier University Hospitals NHS Trust,11961.0,454.0,0.0,591.0,8.0,0.0,51.0,0.0,3234.0,8.0,0.0,178.0
MSitAE-APRIL-2017,RJ1,London Commissioning Region,Guy's And St Thomas' NHS Foundation Trust,11804.0,688.0,2672.0,1930.0,0.0,5.0,71.0,0.0,2964.0,0.0,0.0,738.0
MSitAE-APRIL-2017,Y03082,London Commissioning Region,Harold Wood Walk In Centre,0.0,0.0,3627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RQX,London Commissioning Region,Homerton University Hospital NHS Foundation Trust,10100.0,0.0,0.0,582.0,0.0,0.0,45.0,1.0,1631.0,0.0,0.0,151.0
MSitAE-APRIL-2017,RY9,London Commissioning Region,Hounslow And Richmond Community Healthcare NHS Trust,0.0,0.0,4644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RYJ,London Commissioning Region,Imperial College Healthcare NHS Trust,9379.0,4126.0,10574.0,2322.0,17.0,142.0,296.0,0.0,3208.0,5.0,0.0,1060.0
MSitAE-APRIL-2017,RJZ,London Commissioning Region,King's College Hospital NHS Foundation Trust,16681.0,1564.0,4923.0,3277.0,7.0,192.0,601.0,0.0,4384.0,0.0,0.0,353.0
MSitAE-APRIL-2017,RAX,London Commissioning Region,Kingston Hospital NHS Foundation Trust,8406.0,836.0,0.0,888.0,0.0,0.0,93.0,0.0,1717.0,0.0,0.0,542.0
MSitAE-APRIL-2017,RJ2,London Commissioning Region,Lewisham And Greenwich NHS Trust,16763.0,0.0,6822.0,2167.0,0.0,149.0,303.0,0.0,4036.0,0.0,0.0,651.0
MSitAE-APRIL-2017,R1K,London Commissioning Region,London North West University Healthcare NHS Trust,11492.0,0.0,16159.0,4374.0,0.0,182.0,1042.0,0.0,4810.0,0.0,0.0,443.0
MSitAE-APRIL-2017,RP6,London Commissioning Region,Moorfields Eye Hospital NHS Foundation Trust,0.0,8296.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,13.0,0.0,230.0
MSitAE-APRIL-2017,RAT,London Commissioning Region,North East London NHS Foundation Trust,0.0,0.0,5202.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RAP,London Commissioning Region,North Middlesex University Hospital NHS Trust,14111.0,0.0,0.0,2487.0,0.0,0.0,237.0,0.0,2286.0,0.0,0.0,252.0
MSitAE-APRIL-2017,Y02973,London Commissioning Region,Orchard Village Walk-In-Centre,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RT3,London Commissioning Region,Royal Brompton & Harefield NHS Foundation Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0
MSitAE-APRIL-2017,RAL,London Commissioning Region,Royal Free London NHS Foundation Trust,18379.0,0.0,3153.0,2666.0,0.0,1.0,997.0,0.0,3755.0,0.0,0.0,637.0
MSitAE-APRIL-2017,RAN,London Commissioning Region,Royal National Orthopaedic Hospital NHS Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
MSitAE-APRIL-2017,Y03047,London Commissioning Region,St Andrews Walk-In Centre,0.0,0.0,1886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RJ7,London Commissioning Region,St George's University Hospitals NHS Foundation Trust,12834.0,0.0,1412.0,1353.0,0.0,0.0,0.0,0.0,3688.0,0.0,0.0,653.0
MSitAE-APRIL-2017,F84747,London Commissioning Region,The Barkantine Practice,0.0,0.0,2473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RAS,London Commissioning Region,The Hillingdon Hospitals NHS Foundation Trust,5331.0,0.0,8218.0,1739.0,0.0,50.0,169.0,0.0,1877.0,0.0,0.0,144.0
MSitAE-APRIL-2017,Y03094,London Commissioning Region,The Junction Hc - Unregistered Patients,0.0,0.0,3160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,E84068,London Commissioning Region,The Ridgeway Surgery,0.0,0.0,3429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RRV,London Commissioning Region,University College London Hospitals NHS Foundation Trust,10925.0,0.0,0.0,998.0,0.0,0.0,120.0,0.0,1981.0,0.0,0.0,506.0
MSitAE-APRIL-2017,Y02147,London Commissioning Region,Urgent Care Centre,0.0,0.0,9264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,Y03201,London Commissioning Region,Waldron - Hurley Unregistered Practice,0.0,0.0,2498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RKE,London Commissioning Region,Whittington Health NHS Trust,8285.0,0.0,0.0,734.0,0.0,0.0,91.0,5.0,1290.0,0.0,0.0,95.0
MSitAE-APRIL-2017,NL7,Midlands And East Of England Commissioning Region,Assura Vertis Urgent Care Centres (Birmingham),0.0,0.0,5518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,8J094,Midlands And East Of England Commissioning Region,Badger Ltd,0.0,0.0,2572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RDD,Midlands And East Of England Commissioning Region,Basildon And Thurrock University Hospitals NHS Foundation Trust,11249.0,0.0,0.0,886.0,0.0,0.0,93.0,0.0,2491.0,0.0,0.0,291.0
MSitAE-APRIL-2017,RC1,Midlands And East Of England Commissioning Region,Bedford Hospital NHS Trust,6048.0,0.0,0.0,301.0,0.0,0.0,45.0,0.0,1842.0,0.0,0.0,311.0
MSitAE-APRIL-2017,M85813,Midlands And East Of England Commissioning Region,Birmingham Wic,0.0,0.0,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RQ3,Midlands And East Of England Commissioning Region,Birmingham Women's And Children's NHS Foundation Trust,4964.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,930.0,0.0,0.0,318.0
MSitAE-APRIL-2017,RJF,Midlands And East Of England Commissioning Region,Burton Hospitals NHS Foundation Trust,5241.0,0.0,4528.0,364.0,0.0,0.0,87.0,0.0,1644.0,0.0,6.0,627.0
MSitAE-APRIL-2017,RGT,Midlands And East Of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,9373.0,0.0,3253.0,327.0,0.0,12.0,41.0,0.0,3358.0,0.0,25.0,312.0
MSitAE-APRIL-2017,RFS,Midlands And East Of England Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,7495.0,0.0,0.0,674.0,0.0,0.0,93.0,0.0,1866.0,0.0,0.0,826.0
MSitAE-APRIL-2017,NQ108,Midlands And East Of England Commissioning Region,Clacton Hospital,0.0,0.0,2595.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RDE,Midlands And East Of England Commissioning Region,Colchester Hospital University NHS Foundation Trust,7234.0,0.0,4716.0,1525.0,0.0,0.0,178.0,0.0,2304.0,0.0,0.0,821.0
MSitAE-APRIL-2017,Y03571,Midlands And East Of England Commissioning Region,Corby Urgent Care Centre,0.0,0.0,5591.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RYG,Midlands And East Of England Commissioning Region,Coventry And Warwickshire Partnership NHS Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,79.0
MSitAE-APRIL-2017,RTG,Midlands And East Of England Commissioning Region,Derby Teaching Hospitals NHS Foundation Trust,11051.0,0.0,4605.0,1759.0,0.0,20.0,102.0,4.0,3398.0,0.0,49.0,1228.0
MSitAE-APRIL-2017,RY8,Midlands And East Of England Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,0.0,0.0,5607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,NNJ,Midlands And East Of England Commissioning Region,Dhu Health Care C.I.C,0.0,0.0,2176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RWH,Midlands And East Of England Commissioning Region,East And North Hertfordshire NHS Trust,8585.0,0.0,4555.0,1400.0,0.0,14.0,0.0,0.0,3067.0,0.0,0.0,543.0
MSitAE-APRIL-2017,Y03007,Midlands And East Of England Commissioning Region,Erdington GP Health & Wellbeing Wic,0.0,0.0,2682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,NQ106,Midlands And East Of England Commissioning Region,Fryatt Hospital,0.0,0.0,601.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RLT,Midlands And East Of England Commissioning Region,George Eliot Hospital NHS Trust,6653.0,0.0,0.0,460.0,0.0,0.0,102.0,0.0,1077.0,0.0,0.0,25.0
MSitAE-APRIL-2017,NTPAL,Midlands And East Of England Commissioning Region,Greet General Practice & Urgent Care Centre,0.0,0.0,2206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,NEH06,Midlands And East Of England Commissioning Region,Haverstock Healthcare (Cheshunt Community Hospital),0.0,0.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RR1,Midlands And East Of England Commissioning Region,Heart Of England NHS Foundation Trust,18492.0,0.0,3504.0,2908.0,0.0,36.0,924.0,0.0,5487.0,0.0,1167.0,2140.0
MSitAE-APRIL-2017,RY4,Midlands And East Of England Commissioning Region,Hertfordshire Community NHS Trust,0.0,0.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RGQ,Midlands And East Of England Commissioning Region,Ipswich Hospital NHS Trust,7215.0,0.0,482.0,494.0,0.0,0.0,21.0,0.0,1927.0,0.0,142.0,711.0
MSitAE-APRIL-2017,RGP,Midlands And East Of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,6532.0,0.0,64.0,437.0,0.0,0.0,48.0,0.0,1255.0,0.0,0.0,444.0
MSitAE-APRIL-2017,RNQ,Midlands And East Of England Commissioning Region,Kettering General Hospital NHS Foundation Trust,7108.0,0.0,0.0,1142.0,0.0,0.0,575.0,0.0,2458.0,0.0,0.0,486.0
MSitAE-APRIL-2017,C82038,Midlands And East Of England Commissioning Region,Latham House Medical Practice,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RY5,Midlands And East Of England Commissioning Region,Lincolnshire Community Health Services NHS Trust,0.0,0.0,14171.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,18.0,10.0
MSitAE-APRIL-2017,NJS05,Midlands And East Of England Commissioning Region,Loughborough Urgent Care Centre,0.0,0.0,3985.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RC9,Midlands And East Of England Commissioning Region,Luton And Dunstable University Hospital NHS Foundation Trust,8413.0,0.0,4225.0,152.0,0.0,0.0,0.0,0.0,2307.0,0.0,0.0,1129.0
MSitAE-APRIL-2017,C82009,Midlands And East Of England Commissioning Region,Market Harborough Med.Ctr,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,NLO11,Midlands And East Of England Commissioning Region,Market Harborough Urgent Care Centre,0.0,0.0,744.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,NLO09,Midlands And East Of England Commissioning Region,Melton Mowbray Urgent Care Centre,0.0,0.0,702.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RQ8,Midlands And East Of England Commissioning Region,Mid Essex Hospital Services NHS Trust,7671.0,0.0,381.0,775.0,0.0,2.0,102.0,0.0,2192.0,0.0,0.0,602.0
MSitAE-APRIL-2017,RD8,Midlands And East Of England Commissioning Region,Milton Keynes University Hospital NHS Foundation Trust,7280.0,0.0,4559.0,828.0,0.0,13.0,152.0,0.0,1275.0,0.0,0.0,1068.0
MSitAE-APRIL-2017,Y02652,Midlands And East Of England Commissioning Region,NHS Coventry Healthcare & Wic,0.0,0.0,3848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSitAE-APRIL-2017,RM1,Midlands And East Of England Commissioning Region,Norfolk And Norwich University Hospitals NHS Foundation Trust,9539.0,0.0,1056.0,1047.0,0.0,2.0,426.0,0.0,2546.0,0.0,0.0,1845.0
MSitAE-APRIL-2017,RGN,Midlands And East Of England Commissioning Region,North West Anglia NHS Foundation Trust,11378.0,0.0,688.0,1482.0,0.0,0.0,174.0,0.0,3023.0,0.0,0.0,1028.0
MSitAE-APRIL-2017,RNS,Midlands And East Of England Commissioning Region,Northampton General Hospital NHS Trust,8578.0,1013.0,0.0,1199.0,6.0,0.0,406.0,0.0,2592.0,0.0,0.0,994.0
MSitAE-APRIL-2017,NMH01,Midlands And East Of England Commissioning Region,Norwich Practices Ltd,0.0,0.0,5739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
