Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ENG,ENGLAND,21522001, Abdominal pain (finding),1427774,2022,April
ENG,ENGLAND,399963005, Abrasion (disorder),37224,2022,April
ENG,ENGLAND,48694002, Anxiety (finding),29877,2022,April
ENG,ENGLAND,13094009, Apnea in the newborn (finding),2919,2022,April
ENG,ENGLAND,13791008, Asthenia (finding),537661,2022,April
ENG,ENGLAND,161891005, Backache (finding),324443,2022,April
ENG,ENGLAND,283682007, Bite - wound (disorder),126781,2022,April
ENG,ENGLAND,248020004, Bizarre behavior (finding),50711,2022,April
ENG,ENGLAND,249366005, Bleeding from nose (finding),56546,2022,April
ENG,ENGLAND,290085007, Breast problem (finding),5606,2022,April
ENG,ENGLAND,410429000, Cardiac arrest (disorder),12428,2022,April
ENG,ENGLAND,422970001, Cardiac arrest due to trauma (disorder),401,2022,April
ENG,ENGLAND,262525000, Chest injury (disorder),102029,2022,April
ENG,ENGLAND,29857009, Chest pain (finding),1305483,2022,April
ENG,ENGLAND,40917007, Clouded consciousness (finding),114537,2022,April
ENG,ENGLAND,14760008, Constipation (finding),56977,2022,April
ENG,ENGLAND,162214009, Crying infant (finding),36092,2022,April
ENG,ENGLAND,3415004, Cyanosis (finding),3166,2022,April
ENG,ENGLAND,62315008, Diarrhea (finding),119019,2022,April
ENG,ENGLAND,230145002, Difficulty breathing (finding),425069,2022,April
ENG,ENGLAND,246679005, Discharge from eye (finding),27518,2022,April
ENG,ENGLAND,3006004, Disturbance of consciousness (finding),62863,2022,April
ENG,ENGLAND,404640003, Dizziness (finding),198882,2022,April
ENG,ENGLAND,267036007, Dyspnea (finding),903751,2022,April
ENG,ENGLAND,300132001, Ear discharge (finding),25399,2022,April
ENG,ENGLAND,162356005, Earache symptom (finding),233723,2022,April
ENG,ENGLAND,271807003, Eruption of skin (disorder),351051,2022,April
ENG,ENGLAND,417981005, Exposure to blood and/or body fluid (event),10256,2022,April
ENG,ENGLAND,386661006, Fever (finding),813609,2022,April
ENG,ENGLAND,247355005, Flank pain (finding),102216,2022,April
ENG,ENGLAND,170720001, Follow-up ophthalmological assessment (regime/therapy),105773,2022,April
ENG,ENGLAND,33334006, Foreign body in digestive tract (disorder),20771,2022,April
ENG,ENGLAND,47609003, Foreign body in esophagus (disorder),8806,2022,April
ENG,ENGLAND,14380007, Foreign body in mouth (disorder),22446,2022,April
ENG,ENGLAND,74699008, Foreign body in nose (disorder),13243,2022,April
ENG,ENGLAND,70176004, Foreign body in rectum (disorder),1502,2022,April
ENG,ENGLAND,262599003, Foreign body in respiratory tract (disorder),6539,2022,April
ENG,ENGLAND,34124000, Foreign body in vagina (disorder),5421,2022,April
ENG,ENGLAND,55899000, Foreign body on external eye (disorder),84339,2022,April
ENG,ENGLAND,370977006, Frostbite (disorder),178,2022,April
ENG,ENGLAND,429715006, Gestation greater than 20 weeks (finding),11147,2022,April
ENG,ENGLAND,428566005, Gestation less than 20 weeks (finding),145207,2022,April
